t_us,voltage_v,current_a,current_ref_a
0,4.177,0.380,nan
2000,4.177,0.380,nan
4000,4.177,0.380,nan
6000,4.177,0.380,nan
8000,4.177,0.380,nan
10000,4.177,0.380,nan
12000,4.177,0.380,nan
14000,4.177,0.380,nan
16000,4.177,0.380,nan
18000,4.177,0.380,nan
20000,4.177,0.380,nan
22000,4.177,0.380,nan
24000,4.177,0.380,nan
26000,4.177,0.380,nan
28000,4.177,0.380,nan
30000,4.177,0.380,nan
32000,4.177,0.380,nan
34000,4.177,0.380,nan
36000,4.177,0.380,nan
38000,4.177,0.380,nan
40000,4.177,0.380,nan
42000,4.177,0.380,nan
44000,4.177,0.380,nan
46000,4.177,0.380,nan
48000,4.177,0.380,nan
50000,4.177,0.380,nan
52000,4.177,0.380,nan
54000,4.177,0.380,nan
56000,4.177,0.380,nan
58000,4.177,0.380,nan
60000,4.177,0.380,nan
62000,4.177,0.380,nan
64000,4.177,0.380,nan
66000,4.177,0.380,nan
68000,4.177,0.380,nan
70000,4.177,0.380,nan
72000,4.177,0.380,nan
74000,4.177,0.380,nan
76000,4.177,0.380,nan
78000,4.177,0.380,nan
80000,4.177,0.380,nan
82000,4.177,0.380,nan
84000,4.177,0.380,nan
86000,4.177,0.380,nan
88000,4.177,0.380,nan
90000,4.177,0.380,nan
92000,4.177,0.380,nan
94000,4.177,0.380,nan
96000,4.177,0.380,nan
98000,4.177,0.380,nan
100000,4.177,0.380,nan
102000,4.177,0.380,nan
104000,4.177,0.380,nan
106000,4.177,0.380,nan
108000,4.177,0.380,nan
110000,4.177,0.380,nan
112000,4.177,0.380,nan
114000,4.177,0.380,nan
116000,4.177,0.380,nan
118000,4.177,0.380,nan
120000,4.177,0.380,nan
122000,4.177,0.380,nan
124000,4.177,0.380,nan
126000,4.177,0.380,nan
128000,4.177,0.380,nan
130000,4.177,0.380,nan
132000,4.177,0.380,nan
134000,4.177,0.380,nan
136000,4.177,0.380,nan
138000,4.177,0.380,nan
140000,4.177,0.380,nan
142000,4.177,0.380,nan
144000,4.177,0.380,nan
146000,4.177,0.380,nan
148000,4.177,0.380,nan
150000,4.177,0.380,nan
152000,4.177,0.380,nan
154000,4.177,0.380,nan
156000,4.177,0.380,nan
158000,4.177,0.380,nan
160000,4.177,0.380,nan
162000,4.177,0.380,nan
164000,4.177,0.380,nan
166000,4.177,0.380,nan
168000,4.177,0.380,nan
170000,4.177,0.380,nan
172000,4.177,0.380,nan
174000,4.177,0.380,nan
176000,4.177,0.380,nan
178000,4.177,0.380,nan
180000,4.177,0.380,nan
182000,4.177,0.380,nan
184000,4.177,0.380,nan
186000,4.177,0.380,nan
188000,4.177,0.380,nan
190000,4.177,0.380,nan
192000,4.177,0.380,nan
194000,4.177,0.380,nan
196000,4.177,0.380,nan
198000,4.177,0.380,nan
200000,4.177,0.380,nan
