sample_count,consumed_mah,consumed_wh,min_voltage_v,max_current_a,sensor_failures,rejected_time,rejected_value,gaps,dropped
500,1.0,0.004,4.081,1.980,0,0,0,0,0
1000,1.0,0.004,4.081,1.980,0,0,0,0,0
1500,1.0,0.004,4.081,1.980,0,0,0,0,0
2000,1.0,0.004,4.081,1.980,0,0,0,0,0
2500,1.0,0.004,4.081,1.980,0,0,0,0,0
3000,1.0,0.004,4.081,1.980,0,0,0,0,0
3500,1.0,0.004,4.081,1.980,0,0,0,0,0
4000,1.0,0.004,4.081,1.980,0,0,0,0,0
4500,1.0,0.004,4.081,1.980,0,0,0,0,0
5000,1.0,0.004,4.081,1.980,0,0,0,0,0
5500,1.0,0.004,4.081,1.980,0,0,0,0,0
6000,1.0,0.004,4.081,1.980,0,0,0,0,0
